UTX,Industrials
AGN,Health Care
JBHT,Industrials
CPB,Consumer Staples
SIG,Consumer Discretionary
JWN,Consumer Discretionary
EOG,Energy
TAP,Consumer Staples
VRTX,Health Care
BWA,Consumer Discretionary
UAL,Industrials
AAPL,Information Technology
SPG,Financials
ENDP,Health Care
GT,Consumer Discretionary
GIS,Consumer Staples
PYPL,Information Technology
MJN,Consumer Staples
WRK,Materials
ROP,Industrials
GE,Industrials
GD,Industrials
VAR,Health Care
GM,Consumer Discretionary
NTAP,Information Technology
MAS,Industrials
MAR,Consumer Discretionary
MAT,Consumer Discretionary
SNA,Consumer Discretionary
FOXA,Consumer Discretionary
SNI,Consumer Discretionary
XRAY,Health Care
MAC,Financials
YUM,Consumer Discretionary
XYL,Industrials
TSN,Consumer Staples
TSO,Energy
BEN,Financials
CMI,Industrials
DISCA,Consumer Discretionary
CMG,Consumer Discretionary
ALB,Materials
CME,Financials
DTE,Utilities
NKE,Consumer Discretionary
CMS,Utilities
PCG,Utilities
VLO,Energy
HUM,Health Care
PCLN,Consumer Discretionary
TGNA,Consumer Discretionary
FSLR,Information Technology
GRMN,Consumer Discretionary
FTR,Telecommunications Services
FTV,Industrials
K,Consumer Staples
FFIV,Information Technology
BLL,Materials
HCA,Health Care
BLK,Financials
FTI,Energy
HCN,Financials
NFX,Energy
MA,Information Technology
CBG,Financials
PRGO,Health Care
MO,Consumer Staples
NOC,Industrials
MU,Information Technology
CBS,Consumer Discretionary
OKE,Energy
UHS,Health Care
MS,Financials
TJX,Consumer Discretionary
NOV,Energy
AMGN,Health Care
FB,Information Technology
COST,Consumer Staples
FE,Utilities
CTL,Telecommunications Services
DPS,Consumer Staples
FL,Consumer Discretionary
DOW,Materials
MSFT,Information Technology
GLW,Industrials
SCHW,Financials
BSX,Health Care
GGP,Financials
FCX,Materials
BDX,Health Care
WHR,Consumer Discretionary
BBBY,Consumer Discretionary
MDT,Health Care
F,Consumer Discretionary
DFS,Financials
JEC,Industrials
ILMN,Health Care
V,Information Technology
FMC,Materials
MPC,Energy
TSCO,Consumer Discretionary
ALL,Financials
ALK,Industrials
LMT,Industrials
MMM,Industrials
SO,Utilities
JNPR,Information Technology
SE,Energy
CTSH,Information Technology
SWKS,Information Technology
ADBE,Information Technology
IBM,Information Technology
FIS,Information Technology
BAX,Health Care
CAT,Industrials
CAH,Health Care
BAC,Financials
GS,Financials
CAG,Consumer Staples
LB,Consumer Discretionary
BRK_B,Financials
LM,Financials
LH,Health Care
PGR,Financials
HIG,Financials
CELG,Health Care
WLTW,Financials
A,Health Care
ABC,Health Care
ZION,Financials
STI,Financials
STJ,Health Care
ANTM,Health Care
ABT,Health Care
XOM,Energy
STX,Information Technology
STZ,Consumer Staples
BHI,Energy
CERN,Health Care
CFG,Financials
PNR,Industrials
PNW,Utilities
IVZ,Financials
PNC,Financials
BXP,Financials
GOOGL,Information Technology
VFC,Consumer Discretionary
MMC,Financials
AMZN,Consumer Discretionary
AON,Financials
RAI,Consumer Staples
PRU,Financials
RF,Financials
RL,Consumer Discretionary
AYI,Industrials
URBN,Consumer Discretionary
CHK,Energy
URI,Industrials
HRS,Information Technology
HRL,Consumer Staples
MRO,Energy
MRK,Health Care
HRB,Financials
IPG,Consumer Discretionary
NLSN,Industrials
RHT,Information Technology
RHI,Industrials
APH,Industrials
ROST,Consumer Discretionary
APC,Energy
APA,Energy
APD,Materials
KSU,Industrials
KSS,Consumer Discretionary
WFM,Consumer Staples
WFC,Financials
IFF,Materials
CHTR,Consumer Discretionary
NVDA,Information Technology
KORS,Consumer Discretionary
AVGO,Information Technology
RTN,Industrials
BMY,Health Care
SYMC,Information Technology
EL,Consumer Staples
PAYX,Information Technology
OXY,Energy
SHW,Materials
ED,Utilities
DISCK,Consumer Discretionary
EA,Information Technology
